Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Hassan Rahman,450,500,470,450,11fcd69d-9d8a-4747-85b9-64628f338597
25,Hassan Rahman,750,800,770,750,2168d749-fa9d-4b11-a21a-5a1190c4c697
25,Hassan Rahman,380,400,395,380,3117b2a0-e12f-4fad-9ea5-e0c896fd7f0c
25,Hassan Rahman,800,900,850,800,44588865-8457-4ac0-b216-5a71ccd7796a
25,Hassan Rahman,750,900,825,750,584f987d-7e1d-4bf2-bdac-339243ac122c
25,Hassan Rahman,300,300,300,300,6034cf3b-a2fe-49ab-b4b6-1115082615f2
25,Hassan Rahman,800,800,800,800,64f0abe0-48b6-460f-b81b-c05bff358f26
25,Hassan Rahman,0,0,0,0,6b200af9-7efe-4375-b192-be16e9bc1ea9
25,Hassan Rahman,500,500,500,500,6b884813-d53f-4f14-aeec-17dd8e797b5f
25,Hassan Rahman,900,900,900,900,74e5ceba-6a2e-4639-81c7-911488bd76ee
25,Hassan Rahman,500,600,575,600,76b42a0e-c8bd-4d42-b9b0-5688658ed6ab
25,Hassan Rahman,500,500,500,500,7baf0711-8234-420b-885d-2a24c3d0d106
25,Hassan Rahman,700,800,733.3333333333334,700,7ce48322-48b5-4c27-b3b8-c5b6a4de2a89
25,Hassan Rahman,500,500,500,500,81a0b97b-92de-4d6c-8bb2-a406f3e8310c
25,Hassan Rahman,750,750,750,750,824e6912-5c44-46b3-b767-5d6508c56d89
25,Hassan Rahman,500,500,500,500,a3532014-c6db-4905-ae23-3d4374ecf390
25,Hassan Rahman,500,600,550,600,a3bc6ccb-6544-44f4-a7f1-81e3b64d8df2
25,Hassan Rahman,350,400,366.6666666666667,350,b4974661-f605-47c1-99e3-cf40d52ce5e2
25,Hassan Rahman,700,750,733.3333333333334,750,cef8d480-6648-45f4-86ce-bc40f7076c97
25,Hassan Rahman,600,650,633.3333333333334,650,d7913d99-4e30-4e9c-8a86-83b4448cb2dc
25,Hassan Rahman,0,0,0,0,e5069198-7e78-4d5e-b8a3-f603fdd16ae5
25,Hassan Rahman,800,800,800,800,ed49f98d-4783-49d4-8b40-9e98680ae00b
25,Hassan Rahman,500,500,500,500,f21e0efd-e01a-427f-9b5f-81cf17550d66
25,Hassan Rahman,500,700,566.6666666666666,700,f8a4d944-1022-45c8-b67a-970a4403c804
25,Hassan Rahman,0,0,0,0,fddfb413-1720-4dff-9c6f-8de627b6865f
