Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Juan Mamani,600,600,600,600,045ac152-d8e8-45f2-8f7f-dd2c83f958ee
25,Juan Mamani,400,500,450,400,04eb03d4-99de-4145-b8ab-61adf74cbde8
25,Juan Mamani,0,0,0,0,05bfc5d6-8a0e-440c-8308-4107e6dba4dc
25,Juan Mamani,0,0,0,0,07c17841-cde3-4b8c-be31-4c26637ac341
25,Juan Mamani,700,800,750,750,2c0d2163-b025-487b-8421-1cf438e155b4
25,Juan Mamani,0,0,0,0,33246005-a2b7-4620-9686-3c7436d5acaf
25,Juan Mamani,350,400,366.6666666666667,350,42c3b1fb-5a44-43f9-b854-2bd30bfc58d5
25,Juan Mamani,900,900,900,900,44fa55d6-31f0-47ae-98d5-452cb0cf0baa
25,Juan Mamani,300,300,300,300,47ccaa16-addb-487c-8165-fc36e8c85c0b
25,Juan Mamani,450,500,475,450,511b1213-ae0a-4060-b185-4094205b3bbb
25,Juan Mamani,800,800,800,800,6a91fc66-b00c-411d-bda1-05b8f5f4be8d
25,Juan Mamani,0,0,0,0,6f92fac5-fb5f-4403-85a1-5e1c21e58f47
25,Juan Mamani,900,900,900,900,72e7c702-b476-472d-955a-94d4250a596f
25,Juan Mamani,0,0,0,0,77fd53b8-4aa4-4a0d-8c58-1bc1a891fa01
25,Juan Mamani,1200,1500,1360,1200,7bcfd530-679c-4f8b-aa5d-7876cb8e8d11
25,Juan Mamani,380,500,418,380,7df80da8-465e-4de5-942f-85c931a6e06a
25,Juan Mamani,0,0,0,0,8699fc82-db01-48c7-863d-4e19e6c25eb7
25,Juan Mamani,450,500,460,450,8b733189-820d-402b-bdcb-2a71a7ea65d8
25,Juan Mamani,700,850,766.6666666666666,700,a71b3dfe-5aea-47db-ba4f-4858e521c033
25,Juan Mamani,700,800,766.6666666666666,800,ba57f6dd-0207-4f29-8b04-35b3a0009e88
25,Juan Mamani,300,400,360,350,bf74c2fd-2df8-4a38-9926-b3cdc6624277
25,Juan Mamani,350,400,380,350,c99ff67e-6b37-4d9b-a0e2-463a49b84d53
25,Juan Mamani,300,400,337.5,300,daa67664-f94f-41f3-b394-7c60e9579875
25,Juan Mamani,700,700,700,700,dce3222a-b888-460e-9622-1d74567c22b0
25,Juan Mamani,600,900,766.6666666666666,900,f244230a-b498-4791-8acb-1d24c86e9eea
