Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Mary Smith,700,700,700,700,15011933-4ff2-42bd-a92f-b3ff97c4474a
25,Mary Smith,0,0,0,0,2dea97f8-e700-4f8b-b114-930c65062c0c
25,Mary Smith,300,300,300,300,38b84e83-9bff-4e4d-9fd0-1998d156bda7
25,Mary Smith,700,800,750,700,3a528a74-64e0-4cb7-9124-d5b7c2b01c37
25,Mary Smith,550,800,650,550,3caf9019-fe11-458e-8bb9-327a45c1fe52
25,Mary Smith,0,0,0,0,47697de8-b3cf-4063-bb4a-aa43a675d742
25,Mary Smith,500,500,500,500,692a6f10-864f-43d7-9513-59f7b3c93761
25,Mary Smith,650,650,650,650,6b2bd539-5652-4a6c-acb7-50c0308d9641
25,Mary Smith,500,700,633.3333333333334,650,6c1f2035-2bd4-424d-8f45-8c718c521706
25,Mary Smith,100,800,616.6666666666666,700,7f31d7b9-bc3e-48b5-9f1e-e5a817d4a4e8
25,Mary Smith,800,800,800,800,8a9556a9-fadb-4889-9bc2-c460152b5e03
25,Mary Smith,0,0,0,0,96391a4a-2180-4479-be43-b5c38b479c03
25,Mary Smith,800,800,800,800,9bfb7200-8a67-4c84-8c82-09d8763e5d74
25,Mary Smith,100,1200,825,1000,a6b60b17-520e-4f0c-ab9e-f3ab82199d3a
25,Mary Smith,400,500,450,450,afa76bfb-c4af-45f9-8946-f83a03f372ab
25,Mary Smith,700,700,700,700,ba211fd6-4558-4355-a784-f844d85e6cbd
25,Mary Smith,750,800,775,750,c27c7c00-9bbd-47fe-806f-e4ea6e0fa3f4
25,Mary Smith,650,750,675,650,c61ba9db-78b8-46a3-8f57-e91d4a1328f6
25,Mary Smith,800,900,833.3333333333334,900,e1c39fc8-17b6-43e9-ba57-4a7068e9d6f3
25,Mary Smith,700,700,700,700,e68ffa23-a4a2-4148-a634-194446a24245
25,Mary Smith,700,950,792.8571428571429,950,e6ba3c15-9c44-4090-94d4-ce6c66ae15f9
25,Mary Smith,300,800,466.6666666666667,300,ea7b1f88-28ca-434f-9e59-8de60300e170
25,Mary Smith,300,300,300,300,ed8dabce-511a-487e-98d9-af659390cccf
25,Mary Smith,450,500,470,500,f12e87ab-2b2d-44cb-94b3-ff32f47def59
25,Mary Smith,300,300,300,300,fcc71ed3-1699-4913-bfd7-67bdc30c86f8
