Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Bo Li,0,0,0,0,001a86ec-baeb-4b56-8099-bf38683b1c21
25,Bo Li,800,4500,3075,2500,002b3811-26d8-4602-8336-492a32a2688d
25,Bo Li,0,0,0,0,27ea8a88-a47b-47b1-9c94-213e9fb6aa82
25,Bo Li,800,800,800,800,2b1c0f32-5273-4b1d-9490-45bf97b3b0a3
25,Bo Li,600,700,650,650,30cd21a1-be31-48dc-99f0-23473176da67
25,Bo Li,400,500,437.5,450,3396d127-726d-4710-a325-705ce0ca993b
25,Bo Li,600,600,600,600,401cf5ce-e56b-4fe9-9e6e-dc36ea2b3369
25,Bo Li,800,1000,900,1000,43d63c05-2c5f-4c59-8d0e-251b78acb4f7
25,Bo Li,600,600,600,600,5df4a9f6-8d63-420a-a062-a164c683d1f5
25,Bo Li,750,800,766.6666666666666,750,76696888-bf22-4b48-86cf-dc239dcf2e77
25,Bo Li,100,500,300,100,7b5e1301-a548-44f9-82a5-5d312aa01d0e
25,Bo Li,800,800,800,800,9403c9f4-dc75-42c4-a600-1c2e45e36511
25,Bo Li,500,550,525,550,95e52cc0-e71a-4261-b1b0-819715bfb33f
25,Bo Li,800,800,800,800,95ebda1b-6128-485a-9e91-9c92a62215c6
25,Bo Li,800,900,875,900,986ce628-293a-4cc9-b7f0-de4d896d0ae3
25,Bo Li,600,600,600,600,a90dd1cf-6004-41bd-b558-72e352bba4ae
25,Bo Li,700,750,716.6666666666666,700,a9e479a3-3609-44c7-8a41-99c4062e2211
25,Bo Li,600,600,600,600,aea0cbf4-95e3-4b67-a871-4990a8660e03
25,Bo Li,750,800,766.6666666666666,750,be37312b-f861-464b-8983-a7242aab67f7
25,Bo Li,500,600,550,600,d6cedfcf-0cd0-4d3a-94c6-22d72c57772c
25,Bo Li,650,750,675,750,dc180f8b-e64b-4291-9d32-246b07be918c
25,Bo Li,650,700,662.5,650,e785613a-66cf-4b31-9c90-97213cba6d3d
25,Bo Li,200,900,700,200,e79ea43f-0f25-4d4e-b0c8-c46b51f0cdfc
25,Bo Li,500,500,500,500,f4983fb4-621a-436d-b973-59868c3d17fb
25,Bo Li,500,500,500,500,fe107e8f-6d34-49a4-9c28-a53572a7fcab
