Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,James Smith,0,0,0,0,123cb4f8-b058-4054-b7ac-ac89f2cc9651
25,James Smith,700,900,766.6666666666666,900,125a856b-c0c5-487d-b4e0-acf29bcaf197
25,James Smith,500,500,500,500,16fc8567-c5d0-4050-9c9a-5104c9f8625f
25,James Smith,0,0,0,0,232dcb5e-4665-4241-9955-85cb12c9c812
25,James Smith,800,800,800,800,236a2837-6996-482f-ac3a-8ef92368f0bb
25,James Smith,800,900,833.3333333333334,800,27423f68-6fad-41dc-b3e0-e24ab49a5fc9
25,James Smith,600,700,662.5,650,2c31aac4-7534-43d4-8be8-c2ecedfd94cc
25,James Smith,1000,1000,1000,1000,359103fa-207a-459f-a90b-e133d869427d
25,James Smith,700,800,750,700,3e0b718a-c8c0-4e33-9455-fe9735504787
25,James Smith,500,600,550,500,3eac4295-fdf5-446d-b042-9227f7cd7dfe
25,James Smith,700,800,766.6666666666666,800,494530bf-3a3a-4f2e-9f0d-6ae02886df04
25,James Smith,450,500,483.3333333333333,500,6817d6f6-5024-4986-8bb6-8fe4378908f1
25,James Smith,750,800,775,750,6a230dcd-b3b3-41ce-8c07-b7b92507a540
25,James Smith,850,900,875,900,6d35c0ef-650b-4a5d-8604-406eeae88222
25,James Smith,700,800,733.3333333333334,800,795b1bec-f566-4f57-9026-38e99d4673a1
25,James Smith,0,0,0,0,7c8c3e83-e386-4101-bcbc-cd49fa30ae33
25,James Smith,0,0,0,0,84c00db0-7fc0-4272-a8ca-a354a8379a0a
25,James Smith,400,400,400,400,87c8708e-1875-47e1-9d59-2fdfbf431a7d
25,James Smith,700,850,780,850,9a8ca5a0-58a6-40f2-af5a-46f5e41b657c
25,James Smith,250,300,275,300,a61dedbe-7a09-4d3c-8db1-0c183fbf8cea
25,James Smith,700,800,733.3333333333334,700,d0faba9d-607e-441e-add3-1abaf113eeb2
25,James Smith,0,0,0,0,e88896b4-b04b-403c-9213-535277cba97f
25,James Smith,500,500,500,500,f2f45940-a78c-481f-9dad-877186c7ee1e
25,James Smith,0,0,0,0,f995ffa1-9852-4b9f-9c02-6db7dee2fa0a
25,James Smith,0,0,0,0,fcb2cc7b-93e9-4992-bd05-15222b7162fd
