Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Juan Mamani,400,500,450,400,04eb03d4-99de-4145-b8ab-61adf74cbde8
25,Juan Mamani,500,500,500,500,077c9cfb-8c6e-4c32-8d07-186c3d9b84e3
25,Juan Mamani,0,0,0,0,07c17841-cde3-4b8c-be31-4c26637ac341
25,Juan Mamani,500,600,575,600,0cfe8ea2-8d11-469d-b79b-b9e6eaf00e33
25,Juan Mamani,0,0,0,0,18c70590-6ea9-4be7-9119-c5a336268eae
25,Juan Mamani,0,0,0,0,33246005-a2b7-4620-9686-3c7436d5acaf
25,Juan Mamani,350,400,366.6666666666667,350,42c3b1fb-5a44-43f9-b854-2bd30bfc58d5
25,Juan Mamani,900,900,900,900,44fa55d6-31f0-47ae-98d5-452cb0cf0baa
25,Juan Mamani,300,300,300,300,47ccaa16-addb-487c-8165-fc36e8c85c0b
25,Juan Mamani,450,500,475,450,511b1213-ae0a-4060-b185-4094205b3bbb
25,Juan Mamani,800,800,800,800,6a91fc66-b00c-411d-bda1-05b8f5f4be8d
25,Juan Mamani,900,900,900,900,72e7c702-b476-472d-955a-94d4250a596f
25,Juan Mamani,1200,1500,1360,1200,7bcfd530-679c-4f8b-aa5d-7876cb8e8d11
25,Juan Mamani,380,500,418,380,7df80da8-465e-4de5-942f-85c931a6e06a
25,Juan Mamani,650,750,700,650,7dfe6333-2369-45b8-89c4-54c32abf13c8
25,Juan Mamani,400,450,416.6666666666667,450,8182a9f6-761c-4208-b2ff-8e7857175a10
25,Juan Mamani,0,0,0,0,8699fc82-db01-48c7-863d-4e19e6c25eb7
25,Juan Mamani,300,300,300,300,9c43393e-1ae0-49a3-b911-f50e0d89b0d2
25,Juan Mamani,800,1200,942.8571428571429,1200,a6fa76fe-3dbc-4be8-8028-d1ec1385b46a
25,Juan Mamani,700,850,766.6666666666666,700,a71b3dfe-5aea-47db-ba4f-4858e521c033
25,Juan Mamani,300,400,360,350,bf74c2fd-2df8-4a38-9926-b3cdc6624277
25,Juan Mamani,0,0,0,0,d771b3e3-92ab-4957-adef-45df495b2c2f
25,Juan Mamani,0,0,0,0,db6c9d7e-a72c-42cb-8d49-a6bb5e569d0e
25,Juan Mamani,500,500,500,500,ea00ba15-1a88-4701-a928-c82a114de432
25,Juan Mamani,500,500,500,500,f74c3927-e288-4a27-98b5-57731eba6c96
