Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Ryanah Rahman,600,700,635.7142857142857,600,117a937c-4b84-4b51-88e3-5eff5541efb7
25,Ryanah Rahman,700,800,775,700,17ea5410-f713-4b89-afeb-bad732cd559d
25,Ryanah Rahman,800,800,800,800,19758d21-d493-4c8b-b46c-eccf68e1c9ef
25,Ryanah Rahman,500,500,500,500,1edcf398-761f-42cc-b6b5-90959a6a7351
25,Ryanah Rahman,600,700,650,600,2164f4bc-1a22-4ed7-b9b9-906a075c6b9a
25,Ryanah Rahman,800,800,800,800,23f1116c-4034-4712-8907-a8aefdfbbfed
25,Ryanah Rahman,900,900,900,900,3f8dc4b3-9818-48a2-a81e-c9064bf3a815
25,Ryanah Rahman,450,500,475,450,3fb2193b-4619-4a7c-9f9c-ee202e6a4ed4
25,Ryanah Rahman,500,500,500,500,4482203b-5f63-4cc5-84af-3b5b773d004d
25,Ryanah Rahman,600,600,600,600,581c0fb3-ac01-4ea4-a8b2-d3b511992282
25,Ryanah Rahman,0,0,0,0,64e61425-7ba1-4772-be8f-45970e1ca344
25,Ryanah Rahman,850,850,850,850,6c8d420b-2989-49c9-a0ba-7a520c8dae92
25,Ryanah Rahman,600,700,650,600,80863e8f-ab37-44a0-9b07-b521c2af4265
25,Ryanah Rahman,700,800,750,700,8212f74d-6556-4282-b1c7-931c539688bc
25,Ryanah Rahman,0,0,0,0,a0350582-c33d-4611-b02b-8b91a718b6b7
25,Ryanah Rahman,800,900,850,900,a3971ef1-5412-47c6-9785-36ca7e1800ec
25,Ryanah Rahman,550,600,583.3333333333334,550,b44bfd55-e118-4def-98f1-23fc8c2b71f3
25,Ryanah Rahman,800,800,800,800,c11779ed-faf5-4e09-b0de-493cdabc92dd
25,Ryanah Rahman,300,500,383.3333333333333,300,c54e1eff-615f-44b4-afbc-c3c7e060e6a9
25,Ryanah Rahman,0,0,0,0,c8f5c2f8-86a7-4e09-9f06-40863e1f3d27
25,Ryanah Rahman,350,500,425,350,c927567d-54d6-4835-881a-50942e2fb5e0
25,Ryanah Rahman,280,300,286.6666666666667,280,e75649a1-60f6-49ca-a4dd-16afd6d81ebc
25,Ryanah Rahman,500,500,500,500,e787d97d-f621-46b6-a303-3529eadcce75
25,Ryanah Rahman,550,600,575,550,ee349b54-e60d-4c2e-8439-a370e39b5c38
25,Ryanah Rahman,600,650,625,650,f67ed567-23a2-4f7d-ba1a-772a0846e587
