Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Aziz Trabelsi from Tunesia,200,200,200,200,03c53b9a-ff62-4f84-b78b-19d7bb791ac7
25,Aziz Trabelsi from Tunesia,0,0,0,0,0adb1d93-b75c-4335-b6cd-81a52c5900bc
25,Aziz Trabelsi from Tunesia,750,800,766.6666666666666,750,12538dca-ad6d-4f96-b2bd-7f4d4b4a6797
25,Aziz Trabelsi from Tunesia,450,450,450,450,213dd629-8401-4347-bfcb-d6e8afd74be6
25,Aziz Trabelsi from Tunesia,350,350,350,350,23c85d76-899c-4534-b0d1-972612555c9f
25,Aziz Trabelsi from Tunesia,300,500,366.6666666666667,500,243177f7-fece-4e1d-addb-f7d4b7c0dcac
25,Aziz Trabelsi from Tunesia,600,800,680,600,28f14903-334c-4c30-96a1-84367d348e7b
25,Aziz Trabelsi from Tunesia,800,800,800,800,3a39f2cf-c72b-4489-acf7-3e05447fa0e3
25,Aziz Trabelsi from Tunesia,500,500,500,500,4607be7a-1c32-43fc-96b2-93cb415a734c
25,Aziz Trabelsi from Tunesia,650,750,675,650,49a9f1dd-59b6-4d1a-8c98-103918275e20
25,Aziz Trabelsi from Tunesia,800,800,800,800,4c6aa3e1-1d6b-4871-8e9d-776517ad9bb8
25,Aziz Trabelsi from Tunesia,400,400,400,400,559b2f20-943e-4a94-be52-8eb0db63a8dc
25,Aziz Trabelsi from Tunesia,300,400,333.3333333333333,400,5d6637f5-cd57-4708-89ec-a5fe5553b704
25,Aziz Trabelsi from Tunesia,190,250,205.71428571428572,200,5d9dc985-4350-4f23-afcb-6763327ada2e
25,Aziz Trabelsi from Tunesia,200,600,400,200,601b9fe3-7340-467c-ad66-14b784738dfe
25,Aziz Trabelsi from Tunesia,800,800,800,800,63d19172-5282-4fef-bd90-8f1dde98f565
25,Aziz Trabelsi from Tunesia,450,500,475,450,65dbb55b-d382-4a87-b433-843a50d756d1
25,Aziz Trabelsi from Tunesia,300,300,300,300,74804ff9-8f18-425b-88e1-b69be1b590a0
25,Aziz Trabelsi from Tunesia,300,350,325,350,7f2606e0-929e-4e96-bb27-22bf5952db4a
25,Aziz Trabelsi from Tunesia,200,800,600,200,8348c1ee-33aa-470c-8016-eb7a9b6dd0cd
25,Aziz Trabelsi from Tunesia,1,800,332.54545454545456,500,8449bc46-621e-467d-ace2-23f4dca62098
25,Aziz Trabelsi from Tunesia,500,500,500,500,881fc007-abf9-42fa-8866-e3555e8bc911
25,Aziz Trabelsi from Tunesia,150,150,150,150,8d326bc4-e34b-4b6f-bee5-ff1b0aef1ea4
25,Aziz Trabelsi from Tunesia,0,0,0,0,965e3bbf-890c-446f-9a4a-8db5b2f82833
25,Aziz Trabelsi from Tunesia,450,600,525,600,992de134-8d33-4091-a272-48a743acb198
25,Aziz Trabelsi from Tunesia,0,0,0,0,9a708055-e00e-4f9a-8208-9f4f209f0ee6
25,Aziz Trabelsi from Tunesia,400,400,400,400,9a7367f8-00dd-4528-936c-10fbb6f1ed55
25,Aziz Trabelsi from Tunesia,300,300,300,300,9fc70ff3-1ca2-4b6f-8ba9-9444ffaec8af
25,Aziz Trabelsi from Tunesia,350,500,450,350,a05fbd1b-1145-431a-813c-b4350cd6df80
25,Aziz Trabelsi from Tunesia,400,500,450,400,a0940c7e-12cd-4b03-9acd-a32539e58895
25,Aziz Trabelsi from Tunesia,800,800,800,800,a5f85dcb-a1aa-48c2-99b6-8d9b4b382689
25,Aziz Trabelsi from Tunesia,200,200,200,200,b63d569e-d1a7-4396-9bfb-eede370ac68f
25,Aziz Trabelsi from Tunesia,690,700,696.6666666666666,690,ba6ad743-847c-4e7b-8ca5-157f2aaf6660
25,Aziz Trabelsi from Tunesia,0,0,0,0,c0135d5e-173f-441c-8104-bc73040e4efc
25,Aziz Trabelsi from Tunesia,800,800,800,800,c224c8d7-686c-4a73-ae6d-0a38726364f0
25,Aziz Trabelsi from Tunesia,500,500,500,500,c6100a6b-f197-4162-97b8-65e3194269ca
25,Aziz Trabelsi from Tunesia,800,800,800,800,d45a3f0f-241d-42fd-9dce-597f8c4b350e
25,Aziz Trabelsi from Tunesia,100,800,450,100,d5a34d01-6261-4428-8f34-1360aa2a002f
25,Aziz Trabelsi from Tunesia,800,800,800,800,d68a8e57-ef02-4eac-95f9-91cea1564282
25,Aziz Trabelsi from Tunesia,500,600,550,600,de616b9f-5ddd-4c77-99e0-b76b3616716d
25,Aziz Trabelsi from Tunesia,350,350,350,350,de7cb7d1-a261-49a9-be89-a43e2ddaf5db
25,Aziz Trabelsi from Tunesia,400,450,416.6666666666667,450,e27277dd-e571-4fd9-9caf-f0691808df77
25,Aziz Trabelsi from Tunesia,500,500,500,500,e5565d54-4c3c-4cf8-bd66-080b373cc922
25,Aziz Trabelsi from Tunesia,600,600,600,600,e56f8a44-0035-4fa4-b127-73b9aef719e9
25,Aziz Trabelsi from Tunesia,300,500,366.6666666666667,300,e8c9a56b-b5c3-4cfc-b9d3-f337787d507e
25,Aziz Trabelsi from Tunesia,300,300,300,300,f0dd449b-1234-4231-b0a5-3ad259d858d7
25,Aziz Trabelsi from Tunesia,0,0,0,0,f444094b-8710-4409-bc4b-1faec7f76f5a
25,Aziz Trabelsi from Tunesia,500,500,500,500,f5e15855-e57c-4648-9d12-658ac1418e89
25,Aziz Trabelsi from Tunesia,123,600,480,456,fa9fa0ed-b3b9-4573-9bde-4fa9b1b21aeb
25,Aziz Trabelsi from Tunesia,0,0,0,0,fb6cdc8c-a975-413b-9df3-e65822237d85
