Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Emilia Müller from Germany,450,600,500,450,06a07e0b-a052-46b0-bd96-3b70a573ea23
25,Emilia Müller from Germany,100,800,510,750,0b33c138-1e2b-4c18-b7d1-2e212e6d5e92
25,Emilia Müller from Germany,500,500,500,500,0bca64f3-029c-4582-9ea8-a5b35dbb86bf
25,Emilia Müller from Germany,550,700,657.1428571428571,700,0cb23639-988c-45ed-8088-c11356150f3e
25,Emilia Müller from Germany,1200,1200,1200,1200,0fe78e85-50cf-4b9e-9b74-e5ce411657ce
25,Emilia Müller from Germany,0,0,0,0,1e545d7d-407d-44b5-8e9f-a49f26fa0439
25,Emilia Müller from Germany,0,0,0,0,3135be40-5d41-4e96-9adc-74986cb2c70d
25,Emilia Müller from Germany,0,0,0,0,42102d58-c38e-4df6-954c-53f2b5a70623
25,Emilia Müller from Germany,450,500,466.6666666666667,500,433c15d2-2da9-46f4-865b-4b2697388c2d
25,Emilia Müller from Germany,750,800,766.6666666666666,750,46340971-dee8-4e61-a097-1b495c49cab7
25,Emilia Müller from Germany,450,500,487.5,500,486ab604-4d82-40d7-9da1-b7833207aee7
25,Emilia Müller from Germany,0,0,0,0,49186f13-f6f8-44fc-a578-6e30abf436d9
25,Emilia Müller from Germany,500,700,600,700,4f7ece6e-b9c8-4172-a987-b7dbffaf9bc3
25,Emilia Müller from Germany,500,600,560,600,63360089-02da-4e3d-9e1b-d0fc4db960e4
25,Emilia Müller from Germany,1200,1200,1200,1200,65f6595e-0e98-4136-a8dc-c77681f5a9ae
25,Emilia Müller from Germany,0,0,0,0,6ffd7255-8cce-4e6d-b7a8-0dae371b502d
25,Emilia Müller from Germany,700,800,725,800,706b770e-7d28-4696-8168-360ac81bae71
25,Emilia Müller from Germany,600,600,600,600,76d850e1-1592-4267-a170-01634cd58c5a
25,Emilia Müller from Germany,800,800,800,800,7a00fc69-784c-4cb5-a537-54c9d870181e
25,Emilia Müller from Germany,700,800,750,700,7d00e77b-72a7-4783-b153-9db557a86d06
25,Emilia Müller from Germany,1200,1200,1200,1200,83f030da-2950-4160-b712-67b60d7e4a36
25,Emilia Müller from Germany,800,800,800,800,85412e39-c851-41fc-bf20-0940fb97d6b9
25,Emilia Müller from Germany,400,450,425,450,86b39acf-8787-4fae-81ce-493d463f2602
25,Emilia Müller from Germany,900,900,900,900,870299fe-257b-4fbf-ad6a-8e6d55dc7177
25,Emilia Müller from Germany,800,800,800,800,88d9966a-648e-4330-9858-9b953f2548fb
25,Emilia Müller from Germany,300,300,300,300,905fff98-e40a-48f8-a93c-6df64ef27789
25,Emilia Müller from Germany,350,400,366.6666666666667,350,90ad4e96-e820-4636-af1c-0976c25ef01c
25,Emilia Müller from Germany,500,500,500,500,9589c292-d27b-4325-b9d7-1184888a2b78
25,Emilia Müller from Germany,800,800,800,800,9a30606b-dbb0-4cdf-ae7e-2946286846fb
25,Emilia Müller from Germany,100,500,293.75,150,9a3fa4fe-5900-4c95-8c9d-da7fb3ae4004
25,Emilia Müller from Germany,500,600,533.3333333333334,600,a8954529-9c53-4741-8982-93254cb3fc61
25,Emilia Müller from Germany,300,300,300,300,abb0f114-82a3-48d4-ba32-0712064b4337
25,Emilia Müller from Germany,800,800,800,800,af2f23bb-7c56-4ea8-9f13-49058acd424a
25,Emilia Müller from Germany,500,600,566.6666666666666,600,b233f2a7-a072-4817-af3e-8cd6f4adde81
25,Emilia Müller from Germany,800,800,800,800,b2ab9506-bd6b-43f8-8f76-7f1a72d164c9
25,Emilia Müller from Germany,0,0,0,0,b49affda-be84-4dd2-97b0-448614cb4a72
25,Emilia Müller from Germany,800,800,800,800,b6c35262-fc84-4b64-9f75-76960cc82b29
25,Emilia Müller from Germany,800,800,800,800,b982e292-8aa2-4766-8e8e-441afc1a10b5
25,Emilia Müller from Germany,650,750,700,750,c632926f-4b5c-418b-8ddc-46d523b716c9
25,Emilia Müller from Germany,800,800,800,800,cbed1aef-18f2-4d1f-9fb1-d6253c4672da
25,Emilia Müller from Germany,500,500,500,500,d2052e71-8141-42ca-8034-50cb64d9a2eb
25,Emilia Müller from Germany,750,800,775,750,daa1cdca-11fc-4d37-8857-921d7a4aa08f
25,Emilia Müller from Germany,700,700,700,700,db046991-8bdc-4202-8e13-af0543e1f5c7
25,Emilia Müller from Germany,0,0,0,0,dcc0377b-e9e7-43dd-8d35-ffc981548afa
25,Emilia Müller from Germany,350,500,420,500,e73ed2e9-3412-45fc-8e3c-0bb603bfa261
25,Emilia Müller from Germany,800,900,875,900,eb6a1d1c-3600-4396-ab0a-e657ee51f227
25,Emilia Müller from Germany,800,900,833.3333333333334,900,eb8ca919-b26b-454d-a32e-61dcacb34737
25,Emilia Müller from Germany,850,850,850,850,ef4de1ca-f520-4b29-9434-ea5a6833633e
25,Emilia Müller from Germany,800,950,875,950,f3bab2c3-0c40-4b4d-8ae5-fe372b86b2b3
25,Emilia Müller from Germany,800,1000,866.6666666666666,800,f8b14e11-c614-4af0-901e-e44bf1bf8bfd
