Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,James Smith from the United States of America,800,800,800,800,00ec1388-f901-4108-8c69-93ff83121475
25,James Smith from the United States of America,600,600,600,600,08192f94-1f4a-4636-84d1-672d0426fdcc
25,James Smith from the United States of America,800,800,800,800,08625d6a-4bec-4370-a132-003573b69588
25,James Smith from the United States of America,500,600,550,600,0b661c9a-2444-49b4-9e56-776b4e0d75d7
25,James Smith from the United States of America,100,800,600,800,0cd058ac-744c-4ff0-b133-a2525cb9376c
25,James Smith from the United States of America,800,800,800,800,0ef22358-4eeb-4ec7-8a01-bd5ca2b48bb0
25,James Smith from the United States of America,600,700,666.6666666666666,700,139b05df-94b1-43bb-9bf1-be041e981e2d
25,James Smith from the United States of America,600,800,700,800,248f9e9b-5a3b-4d34-a87e-556f0d92a206
25,James Smith from the United States of America,0,0,0,0,295696b4-ba20-4725-a656-98fc0fc4d934
25,James Smith from the United States of America,800,800,800,800,50abced2-20af-44b9-aced-099e5721162d
25,James Smith from the United States of America,250,250,250,250,50fc03bc-e41e-4d66-a242-541d03c92184
25,James Smith from the United States of America,500,600,550,600,59d26c28-9aca-46ae-a98d-a3ee4d4eff90
25,James Smith from the United States of America,600,600,600,600,621da260-e22c-46e9-8688-f51e84536736
25,James Smith from the United States of America,800,800,800,800,680fa96c-bd7c-42f1-b64a-7605b3bac8ca
25,James Smith from the United States of America,800,800,800,800,69c1c517-ca41-414d-86b9-fd93287d6532
25,James Smith from the United States of America,400,500,430,400,6e0b151d-5f71-4602-97eb-d5e6de6d340e
25,James Smith from the United States of America,900,900,900,900,6e344244-3ff7-4535-b3f7-bec84a3e97bd
25,James Smith from the United States of America,500,600,550,600,74b3c52f-c8e2-4565-a03d-ca58f230cf05
25,James Smith from the United States of America,1200,1200,1200,1200,7506c9a1-123e-49ec-8f3c-79c30cc90147
25,James Smith from the United States of America,700,700,700,700,77a3952a-b826-4aa4-bcbd-a54e587872c4
25,James Smith from the United States of America,800,10500,3250,10500,78689e71-ff3f-4ec1-883f-aeda2692ff17
25,James Smith from the United States of America,600,600,600,600,7c7c48b5-1a96-4d60-8d22-22d737c46be2
25,James Smith from the United States of America,650,700,683.3333333333334,700,7ccd3c0b-c851-44ac-b960-5944a7c87106
25,James Smith from the United States of America,300,350,337.5,350,7d2d0cec-9100-4c5f-93a4-e0d11912977e
25,James Smith from the United States of America,500,600,540,600,8d6155a9-2974-482d-b3aa-97a2bfa0c573
25,James Smith from the United States of America,500,500,500,500,92d08727-fdd5-48ce-b085-f49ece3ddb93
25,James Smith from the United States of America,600,700,660,700,9553eef8-c946-4fb8-9073-235321f29121
25,James Smith from the United States of America,0,0,0,0,9b4b92ad-6b69-477d-beb1-80a971e75aee
25,James Smith from the United States of America,500,600,566.6666666666666,600,9cb807f6-5417-4d0b-a7b8-3769abd23378
25,James Smith from the United States of America,0,0,0,0,9e70e98a-237a-4fa9-8928-1603ffbbc790
25,James Smith from the United States of America,500,600,558.3333333333334,550,9f3766e5-ce9e-4a82-b56b-1c1e426a1e45
25,James Smith from the United States of America,1000,1000,1000,1000,aab9210b-ddbc-4b96-a4e8-dff8302a32ed
25,James Smith from the United States of America,800,800,800,800,ab3b53cb-8c62-425c-91b7-37f4a505a01a
25,James Smith from the United States of America,500,500,500,500,abcc45ee-fa3d-412c-a8ee-e23167841363
25,James Smith from the United States of America,700,800,740,700,b27f62e2-edbf-462b-aaf5-75c053744763
25,James Smith from the United States of America,500,500,500,500,b29b8147-fa4e-4579-a86b-7c06d37a1f1f
25,James Smith from the United States of America,600,700,666.6666666666666,700,b5bd4027-e0b7-43d0-843f-3248915b38d3
25,James Smith from the United States of America,500,600,550,600,b5c2529c-be5e-4662-93aa-8e8e570037b0
25,James Smith from the United States of America,500,600,533.3333333333334,600,b81a42a3-ecf8-47a8-b7d1-cbac004a12d1
25,James Smith from the United States of America,500,500,500,500,bacd8e16-3f1d-45f6-b7ff-d0df4be1b0c4
25,James Smith from the United States of America,400,450,416.6666666666667,450,be90309b-0bdc-4937-9424-32cfb5191b9d
25,James Smith from the United States of America,0,0,0,0,c8b70b98-4db1-423a-b7f8-01f11de6ef6c
25,James Smith from the United States of America,500,600,550,600,cb415580-4608-445d-9939-2021e410cb8a
25,James Smith from the United States of America,450,500,466.6666666666667,450,d4dc9e8b-a3f5-4ad6-8138-7d8b121e8900
25,James Smith from the United States of America,500,800,675,650,d6f0e9ea-4e49-449f-8a1b-bb0cf6089ab1
25,James Smith from the United States of America,0,0,0,0,e3fc7180-3461-42d7-9013-ae4a7b100781
25,James Smith from the United States of America,500,500,500,500,e6411b7d-99e4-48b2-8053-0abb414594c7
25,James Smith from the United States of America,500,500,500,500,f45620ea-b4af-47e2-b40a-d8999e4519cc
25,James Smith from the United States of America,700,800,761.1111111111111,700,f93e5046-daef-45e2-b199-9f231eec53b8
25,James Smith from the United States of America,500,700,625,650,fca62eb9-b3e8-4a45-a333-1fa56e5e6797
