Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Juan Mamani from Bolivia,0,0,0,0,030ae95a-089a-4aff-b853-900155ade798
25,Juan Mamani from Bolivia,0,0,0,0,1a87d719-3d0d-4df6-b199-fa25aab52916
25,Juan Mamani from Bolivia,500,500,500,500,274b6e47-6016-4c46-b410-90bba6ef3146
25,Juan Mamani from Bolivia,400,400,400,400,276b45a2-677c-4858-a3e5-8ef64c143f78
25,Juan Mamani from Bolivia,500,700,600,700,2ab0d46d-20bc-40ac-ba8e-b39243f31adc
25,Juan Mamani from Bolivia,800,800,800,800,325cdabf-b206-45eb-ae45-62af74f8b3d0
25,Juan Mamani from Bolivia,500,600,550,600,344e0a3a-10aa-4e30-82a4-a2d71781f11a
25,Juan Mamani from Bolivia,800,800,800,800,37f8bdd0-c581-4058-9d00-6b18bed4964b
25,Juan Mamani from Bolivia,600,600,600,600,3a6ce3cf-0dc1-4f8f-9101-023b3ef3f2eb
25,Juan Mamani from Bolivia,550,600,575,550,3eaed390-3c2c-46ee-87b1-9d0c127e9d99
25,Juan Mamani from Bolivia,0,0,0,0,3ef087e7-9bda-4e67-b5c9-32ec5da10165
25,Juan Mamani from Bolivia,800,800,800,800,43aa3df8-c006-4814-b5a8-5c0c944ab3a8
25,Juan Mamani from Bolivia,0,0,0,0,512843b4-e9d6-4475-84a6-e12fb4054f0c
25,Juan Mamani from Bolivia,500,500,500,500,5357cd26-c6c0-4245-8aaf-2e0523ea68d0
25,Juan Mamani from Bolivia,300,350,312.5,300,555f8ec2-5a3c-4e61-984e-3327836da42c
25,Juan Mamani from Bolivia,0,0,0,0,559652c7-276c-4606-9d4f-5213ebb4d7a6
25,Juan Mamani from Bolivia,500,600,525,600,58beae01-476e-470f-a1bd-c68e4ffb9a68
25,Juan Mamani from Bolivia,500,500,500,500,5bafe4bc-1433-4ca5-a188-bfac0d6a9b51
25,Juan Mamani from Bolivia,850,850,850,850,5bd83eb9-695d-4042-943e-78545c04b64a
25,Juan Mamani from Bolivia,0,0,0,0,5e8a8654-c8ca-47d5-af68-ccdfd52568ae
25,Juan Mamani from Bolivia,500,600,550,600,61028289-bcec-4d4e-8a40-fb66dbeed074
25,Juan Mamani from Bolivia,450,500,475,450,617c4736-1c6e-43f5-87b8-81a3de374371
25,Juan Mamani from Bolivia,0,0,0,0,61bb80a3-4d4d-45fb-af72-f44fc0669026
25,Juan Mamani from Bolivia,450,600,550,450,651c4350-218a-4a43-991c-dc6e671f9887
25,Juan Mamani from Bolivia,350,500,420,500,75f87efd-8ac3-4437-bb1b-ae91404712ac
25,Juan Mamani from Bolivia,700,700,700,700,7ba4ec23-ee0b-432f-b047-e18255b2cd39
25,Juan Mamani from Bolivia,720,800,760,720,822a91ef-ddbb-4ac7-a928-f09e0a3b44de
25,Juan Mamani from Bolivia,800,800,800,800,90ef7759-a2ca-4f34-9e85-c2ccd822df64
25,Juan Mamani from Bolivia,300,350,316.6666666666667,300,9687a0d1-fe03-440d-ac43-cc5b55863136
25,Juan Mamani from Bolivia,200,350,308.3333333333333,350,9cdc92d7-bcd2-48fc-83ac-5ebf7b770412
25,Juan Mamani from Bolivia,800,1000,866.6666666666666,1000,ac423869-f0a9-48b5-9a2c-f6ec3498b734
25,Juan Mamani from Bolivia,0,0,0,0,af70edfd-03d7-4f9e-b989-28eccceb62b0
25,Juan Mamani from Bolivia,300,320,310,320,b22aaa75-2cc1-409e-a836-574303c0cf88
25,Juan Mamani from Bolivia,500,500,500,500,bdd864f2-0a8e-43df-9cf5-be2f2dc56ccd
25,Juan Mamani from Bolivia,500,500,500,500,c1645cc0-a767-4126-8ce0-4c74a9ad2b47
25,Juan Mamani from Bolivia,300,350,325,350,c1960eb8-7218-4dc6-8bc0-93969271e4e3
25,Juan Mamani from Bolivia,800,800,800,800,c4bd471a-f50b-48d1-b62b-161cd5d0b7d4
25,Juan Mamani from Bolivia,400,400,400,400,c4d8511c-1ab1-49d5-bb24-e8be21a13a40
25,Juan Mamani from Bolivia,700,800,750,700,cfb159fa-cc1b-4da5-a68b-d96421b8552b
25,Juan Mamani from Bolivia,700,700,700,700,d5792bef-4dce-4566-b18e-08a3bedb7cd7
25,Juan Mamani from Bolivia,600,800,628.5714285714286,600,dbf8928c-66fd-4a69-bf9d-f383d60e29f2
25,Juan Mamani from Bolivia,650,700,675,650,e29a13f1-1f97-4d17-8ed6-0cc6ac76edec
25,Juan Mamani from Bolivia,550,600,583.3333333333334,550,e46feb2c-9f19-4a89-bf55-4a1221a9e9b5
25,Juan Mamani from Bolivia,300,350,333.3333333333333,350,e57a7645-e4ab-4c2a-a727-b862707709e6
25,Juan Mamani from Bolivia,500,500,500,500,e80c5f0c-185e-4278-be35-254d13162935
25,Juan Mamani from Bolivia,700,800,750,700,e9b73986-c973-41e4-86db-e9f8b19f4cc3
25,Juan Mamani from Bolivia,300,300,300,300,eaf30ab1-0111-4eaf-b606-b272bc5a164d
25,Juan Mamani from Bolivia,550,600,575,600,ee78e327-fd58-4288-8033-dac2ebbecc7f
25,Juan Mamani from Bolivia,500,700,600,600,ef735b47-27cf-4f5a-89fa-96bef4aa0fa2
25,Juan Mamani from Bolivia,250,350,300,300,f1c21bb9-4841-4548-abe6-efde8c4fd52f
