Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Max Müller from Germany,1200,1200,1200,1200,01d1a1a2-6e0f-486c-88a8-44cb8f771ace
25,Max Müller from Germany,600,850,762.5,850,06d51e31-22a8-4d10-86bf-49d048469821
25,Max Müller from Germany,600,800,700,800,0a047234-3fab-4e67-89a3-5cc2cd2744a8
25,Max Müller from Germany,0,0,0,0,11207255-4c8d-4183-a511-4bc41562a46b
25,Max Müller from Germany,800,800,800,800,15747bd8-aa93-4765-bb92-74fc56215261
25,Max Müller from Germany,300,300,300,300,16fc699b-b9d0-4cbb-8dea-6085528f11d2
25,Max Müller from Germany,450,500,475,450,1bd8617e-859b-488b-a604-bb4e6c1db30a
25,Max Müller from Germany,800,800,800,800,216f5e85-254a-4bf2-a240-495cb1a259c7
25,Max Müller from Germany,500,600,550,600,2a653b69-bb61-4d5f-9b89-2ea84f744f16
25,Max Müller from Germany,800,800,800,800,2dcf9ea5-042c-4c9b-b3e0-d95f3f4c4f1d
25,Max Müller from Germany,600,800,700,800,2e617223-2204-4806-9198-7ac4163ece96
25,Max Müller from Germany,800,800,800,800,35b6d42c-700d-4e7b-9f5c-5ed55b9e740b
25,Max Müller from Germany,500,500,500,500,37f40a32-7267-482f-adc4-667d3a413a3e
25,Max Müller from Germany,800,800,800,800,42a306b8-a270-4c90-b940-9a5404e56a64
25,Max Müller from Germany,400,400,400,400,54f67914-58a0-4a79-a630-3ba9ceaa2d95
25,Max Müller from Germany,750,750,750,750,59e6fc8c-6490-4f19-bce3-355e4fa477f1
25,Max Müller from Germany,650,750,700,750,59eaae33-d507-4f99-a531-8ae00f392930
25,Max Müller from Germany,450,500,468.75,475,5a1e58f4-379b-4046-93c5-74ab694fc18e
25,Max Müller from Germany,600,600,600,600,5ac78a68-ef12-41eb-baa1-bcf102b15921
25,Max Müller from Germany,800,800,800,800,70402e5f-3e65-4126-9395-f4634effe41a
25,Max Müller from Germany,400,500,433.3333333333333,400,72bdc989-d794-43b4-810b-645829101a52
25,Max Müller from Germany,650,750,725,750,77df4007-ae4b-4b03-a9ba-1c59d3f30337
25,Max Müller from Germany,500,650,600,650,7c0f2682-b12b-4398-b56e-51e961a7fa45
25,Max Müller from Germany,550,600,575,600,86b9593f-cc79-4dfe-a9f3-c34d4734d356
25,Max Müller from Germany,350,500,437.5,350,880d9712-d504-4a3b-bb34-aadda7b4c2d3
25,Max Müller from Germany,450,600,540,600,885aa47c-4029-482b-8543-1b5d9a373c0a
25,Max Müller from Germany,450,500,475,450,94c3881b-3c79-4f09-a542-adb3612bfbab
25,Max Müller from Germany,650,700,662.5,650,9cb6b18f-ddc4-441b-867e-56d20ca55c72
25,Max Müller from Germany,800,800,800,800,9cf5e14c-d8df-4704-9674-67b657a0a451
25,Max Müller from Germany,600,700,650,700,a18d788d-59bb-4ecf-a2b3-b088e905f9f0
25,Max Müller from Germany,0,0,0,0,a360a277-f167-4bcb-bbdf-2d325379a9db
25,Max Müller from Germany,500,500,500,500,a3fd4ac5-9cfa-46cf-9c14-23e502c40541
25,Max Müller from Germany,0,0,0,0,a9702a34-22fe-4b1a-b38b-eb5f0c353269
25,Max Müller from Germany,300,350,325,300,adf245a2-868d-44de-99b2-f1603f93293a
25,Max Müller from Germany,800,800,800,800,bbac80dc-8f4f-4394-9eb1-d2e0d2244d13
25,Max Müller from Germany,700,700,700,700,c397dc9f-09c5-4610-b99f-4c6009bf61c2
25,Max Müller from Germany,700,700,700,700,c5361784-cfa7-4ea5-a212-a5f2210f7937
25,Max Müller from Germany,600,600,600,600,cb5e22b0-d726-45c2-a7b1-a496a78edf60
25,Max Müller from Germany,800,900,875,900,cdcf72a6-c25c-44ca-889e-eead0b297e03
25,Max Müller from Germany,800,800,800,800,d035008c-dae5-4773-8a41-d40ff856ba08
25,Max Müller from Germany,800,800,800,800,d46ac4c6-79ee-4b31-87c8-8c92f6349c66
25,Max Müller from Germany,250,250,250,250,d4f180fb-88a0-4b33-961d-b3ac7d432f33
25,Max Müller from Germany,900,900,900,900,e1887a5c-1844-4957-b5a9-81298c0764a6
25,Max Müller from Germany,550,700,630,700,e9c72516-196e-4dbf-bfc8-09786a95254b
25,Max Müller from Germany,450,500,483.3333333333333,500,ea7c5422-4040-4de5-b616-41d7d984a787
25,Max Müller from Germany,600,700,616.6666666666666,700,ecf7df93-ab23-4f68-83c7-f16af2402852
25,Max Müller from Germany,800,900,875,900,ee36991f-9742-4384-8ff7-2f8a8c41d7cd
25,Max Müller from Germany,500,700,600,600,fd75caa9-283e-4a97-9560-2a502c23c779
25,Max Müller from Germany,0,0,0,0,fdc71f8b-4ff9-4c44-9831-cc7a5fab1b7d
25,Max Müller from Germany,350,500,410,500,fe8c3d64-0944-482f-b0ff-c123ef5ad96e
