Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Nesibe Trabelsi from Tunesia,800,800,800,800,056627a6-b4ff-4725-9fb9-33baf99cdc2b
25,Nesibe Trabelsi from Tunesia,500,700,600,700,0e3fd16d-d1bc-4831-9b14-c0c256914802
25,Nesibe Trabelsi from Tunesia,750,750,750,750,118e5d1c-5d35-4ac4-b2de-d80d811a4f8b
25,Nesibe Trabelsi from Tunesia,250,300,262.5,300,11a69d5a-183f-42f5-a2f2-3f7974b0887a
25,Nesibe Trabelsi from Tunesia,100,500,300,100,12518473-13da-44e0-9518-ee4442dcad1c
25,Nesibe Trabelsi from Tunesia,800,800,800,800,1423eb8e-fec7-490f-b4b4-18e21f829292
25,Nesibe Trabelsi from Tunesia,500,500,500,500,15714c3f-671a-45ed-87d0-ae80c01c29ff
25,Nesibe Trabelsi from Tunesia,500,500,500,500,191c56ac-40f4-4eba-8f15-3ed2c461e3e5
25,Nesibe Trabelsi from Tunesia,450,500,462.5,450,20031257-8975-4045-bc76-d3d3cf96f5f8
25,Nesibe Trabelsi from Tunesia,150,200,170,160,21b061f2-d266-4642-8f03-e34d243cec13
25,Nesibe Trabelsi from Tunesia,350,500,400,500,21c1909f-c9e4-4a3b-81da-f5ed89e47077
25,Nesibe Trabelsi from Tunesia,500,500,500,500,23978d69-b5c0-47bf-a6f6-c26a0ef4cde8
25,Nesibe Trabelsi from Tunesia,500,600,522.2222222222222,600,2bf17020-4a1d-459e-9873-0ed9ce19daa2
25,Nesibe Trabelsi from Tunesia,1200,1200,1200,1200,2dd27aad-c010-4f3c-9e13-26976e784d18
25,Nesibe Trabelsi from Tunesia,450,700,530,700,310bf745-963a-4550-8f1a-c780dfd807e9
25,Nesibe Trabelsi from Tunesia,500,500,500,500,3b848d87-908c-433e-8bf8-877d57b020f6
25,Nesibe Trabelsi from Tunesia,0,0,0,0,3fb36d1d-2fc5-4347-8e4c-03937d3c2b25
25,Nesibe Trabelsi from Tunesia,150,150,150,150,4137bfa8-f2d0-4414-81bb-cd4505297eb6
25,Nesibe Trabelsi from Tunesia,500,500,500,500,4531fedb-7ad7-469b-8b19-7de7d57646a4
25,Nesibe Trabelsi from Tunesia,300,500,400,500,4698675c-d6c9-48ce-b4d8-9b88aad33c62
25,Nesibe Trabelsi from Tunesia,300,300,300,300,49bb175d-1682-45c5-ad62-ab084de38dcc
25,Nesibe Trabelsi from Tunesia,300,400,340,400,4d4e1062-bef2-4d90-8ccd-86849fe35760
25,Nesibe Trabelsi from Tunesia,500,650,575,650,5b5c801c-b6d0-429a-97f9-90b18e53331e
25,Nesibe Trabelsi from Tunesia,450,600,490,450,5f385e43-7630-487a-ae62-8a6d65ff7b27
25,Nesibe Trabelsi from Tunesia,300,500,400,500,60ad9799-7204-4fcd-8b0b-e3dc1a2067cc
25,Nesibe Trabelsi from Tunesia,400,500,450,500,61db4254-f667-4a76-99fb-b10cc5774c6b
25,Nesibe Trabelsi from Tunesia,400,500,450,500,68c035fb-1bdd-4fcf-8184-3753037aab2b
25,Nesibe Trabelsi from Tunesia,100,120,106.66666666666667,120,7eaea86d-b776-49f2-9be9-15ed93c8c3d5
25,Nesibe Trabelsi from Tunesia,600,600,600,600,807b6ef9-d71b-4264-92f1-ea63858c928b
25,Nesibe Trabelsi from Tunesia,0,0,0,0,818a5df9-b6f2-46a5-87cc-aeb2e95da189
25,Nesibe Trabelsi from Tunesia,500,500,500,500,8fee861c-278b-48ea-984d-c82bd90f8a48
25,Nesibe Trabelsi from Tunesia,123,450,368.25,123,a0127558-22c6-4422-a148-d9d950a2c8e0
25,Nesibe Trabelsi from Tunesia,300,300,300,300,a73ae1a4-0225-41f0-86de-8e5455588348
25,Nesibe Trabelsi from Tunesia,400,500,440,400,ab19ec65-2313-431d-8853-5abd5cd6b4e6
25,Nesibe Trabelsi from Tunesia,250,250,250,250,ad5723f8-3cf3-4ed2-8d01-b9b1e21f5261
25,Nesibe Trabelsi from Tunesia,750,800,780,750,adc0b63c-3ea9-4da2-909e-a9bfd92656bd
