Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Ryanah Rahman from Saudi-Arabia,600,600,600,600,012776e0-fc77-4e94-8efc-ca8e6fa8b495
25,Ryanah Rahman from Saudi-Arabia,0,0,0,0,053c2cfa-2c7c-49c0-9816-5b61a514f62e
25,Ryanah Rahman from Saudi-Arabia,750,750,750,750,076c25ae-9f70-4a2a-958f-9f1c544a6311
25,Ryanah Rahman from Saudi-Arabia,100,100,100,100,0a08a64d-8c3b-48c7-be8a-312a009615c2
25,Ryanah Rahman from Saudi-Arabia,800,800,800,800,122538c9-f355-4f30-8b2b-e3d345956c53
25,Ryanah Rahman from Saudi-Arabia,750,800,762.5,750,129189f4-5f8b-4167-9ae4-d9567b9a8c57
25,Ryanah Rahman from Saudi-Arabia,800,800,800,800,166d8d42-b048-4705-8fa5-1687894130d3
25,Ryanah Rahman from Saudi-Arabia,450,500,475,500,1cbff724-53e9-4eb4-bfda-63e37d1286e8
25,Ryanah Rahman from Saudi-Arabia,500,500,500,500,1f688bc0-5fd9-4953-bcc6-9dd5f55fafe4
25,Ryanah Rahman from Saudi-Arabia,450,500,466.6666666666667,450,20d23188-e4b1-48e8-a764-ff8e0f4ca459
25,Ryanah Rahman from Saudi-Arabia,800,800,800,800,237cd8cb-8bce-424b-ab36-d2a3e54020e4
25,Ryanah Rahman from Saudi-Arabia,600,600,600,600,297c0e4e-8ede-408d-b17d-68f6753d5cc2
25,Ryanah Rahman from Saudi-Arabia,400,400,400,400,2d7ec4fc-9850-4397-881e-2714b93f00b0
25,Ryanah Rahman from Saudi-Arabia,400,500,450,400,34b6f7f7-6470-40f3-89f3-8022af2b0ad4
25,Ryanah Rahman from Saudi-Arabia,400,500,466.6666666666667,400,415ea99d-15af-418d-b2ed-caf9fa6f3a75
25,Ryanah Rahman from Saudi-Arabia,550,600,562.5,550,483c5539-a2d1-4759-8afd-56872d9b54af
25,Ryanah Rahman from Saudi-Arabia,800,900,825,800,4e5b7c63-3a92-476f-be6a-147297a2ab44
25,Ryanah Rahman from Saudi-Arabia,300,400,333.3333333333333,300,56d8e734-6ded-4fcf-acd6-c0979dcf495b
25,Ryanah Rahman from Saudi-Arabia,500,500,500,500,5a7d5fff-5d29-467f-9a1f-0f4ca5c47d4e
25,Ryanah Rahman from Saudi-Arabia,500,500,500,500,6678e389-b1f8-475b-b4c4-0589c2b5da8d
25,Ryanah Rahman from Saudi-Arabia,0,0,0,0,66c40b59-544e-4d0b-8c40-5ebd307b1424
25,Ryanah Rahman from Saudi-Arabia,450,500,462.5,450,6d214466-3e6a-427f-b0e5-7c1773214643
25,Ryanah Rahman from Saudi-Arabia,500,500,500,500,71c00c13-0d43-4975-9dcc-b1cae4c67f95
25,Ryanah Rahman from Saudi-Arabia,750,800,775,750,76ede64f-3b6e-4f59-8c53-7e3e17b74101
25,Ryanah Rahman from Saudi-Arabia,500,600,560,600,815c3e09-5f20-413d-919c-e630bf41030e
25,Ryanah Rahman from Saudi-Arabia,1000,1000,1000,1000,82497f94-2775-4a7e-a9a6-19270cfc9b4e
25,Ryanah Rahman from Saudi-Arabia,400,600,520,600,8314484a-8446-4f45-a891-ad8f9bb08e1c
25,Ryanah Rahman from Saudi-Arabia,450,500,475,450,8836f6ee-2907-4589-b700-526a3047a542
25,Ryanah Rahman from Saudi-Arabia,500,700,650,700,8a73868f-ea55-4899-82bf-7d68c321bb1a
25,Ryanah Rahman from Saudi-Arabia,1200,1200,1200,1200,90a6f787-6f47-43b6-ae1e-af3c6b9f93ea
25,Ryanah Rahman from Saudi-Arabia,800,800,800,800,9af85098-1498-420f-bb19-418ee826ff45
25,Ryanah Rahman from Saudi-Arabia,400,450,425,400,9bf99943-83d5-4cfa-9c79-d6484babcfa3
25,Ryanah Rahman from Saudi-Arabia,500,500,500,500,9f3727e4-3f8a-49e6-ac37-0cf0ae85d163
