Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Aziz Trabelsi,750,800,775,750,052cc9ee-a512-4c8e-879f-165d56dad2b3
25,Aziz Trabelsi,500,500,500,500,09a98980-1d54-4269-9ff5-cee3fe853c57
25,Aziz Trabelsi,450,600,525,450,0babbc9d-575c-4148-9b0b-9a6ab42d2bdd
25,Aziz Trabelsi,300,350,316.6666666666667,350,1ab151aa-6d54-4ba6-b661-22cd7fb690e9
25,Aziz Trabelsi,600,600,600,600,1bd5dff6-4d10-4b97-8082-22af09c8a363
25,Aziz Trabelsi,850,850,850,850,1e7b57f0-53c1-4ac6-8a4e-6704a1e22287
25,Aziz Trabelsi,850,850,850,850,34fc0001-418c-454b-8cfa-c2fe98bab596
25,Aziz Trabelsi,800,800,800,800,3aaee872-2d23-4314-b828-f472c7d9d283
25,Aziz Trabelsi,400,500,460,400,40eeb9e8-bafc-4ed5-a2c0-15a4ab659c6c
25,Aziz Trabelsi,600,600,600,600,492b7b25-9476-4fca-9ab2-66adacfe6271
25,Aziz Trabelsi,500,650,610,650,556405f3-7769-4c94-b75c-ccbf1a90b505
25,Aziz Trabelsi,800,800,800,800,63e15190-c25e-476b-a180-4835ae8dc33e
25,Aziz Trabelsi,700,700,700,700,70b8cb9f-fe2a-4dfd-9ad6-ba3a55aa5e63
25,Aziz Trabelsi,500,500,500,500,72c21c7b-af81-42de-84b7-0272a227e49a
25,Aziz Trabelsi,0,0,0,0,78e917a3-d9e3-4c53-807f-f90e3f36fe27
25,Aziz Trabelsi,1500,1500,1500,1500,99e30556-9a46-4d8c-b80a-ccea18b67058
25,Aziz Trabelsi,550,550,550,550,a3124d26-fbbf-44e4-948e-e47f64cb0716
25,Aziz Trabelsi,450,500,483.3333333333333,500,a8083376-7aef-4915-aa25-a55bc11185cd
25,Aziz Trabelsi,500,500,500,500,a96ce24f-4595-4de8-91a7-74b85b2fde48
25,Aziz Trabelsi,200,800,600,200,abd033e3-0328-4b50-be7a-038623cb29cb
25,Aziz Trabelsi,800,800,800,800,b21268a9-6626-40aa-a04d-22990841e193
25,Aziz Trabelsi,450,500,486,500,bbf01eb2-004e-44dd-b2c5-615de2d81c57
25,Aziz Trabelsi,400,500,440,400,ca82419b-b459-4388-9dca-1cb078af3619
25,Aziz Trabelsi,650,700,683.3333333333334,700,d5a0ae84-1e4d-475c-9ed8-b650d581edbb
25,Aziz Trabelsi,800,800,800,800,ff20f1b3-f695-40c3-92b8-e1427ce213f1
