Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Bo Li,0,0,0,0,03251902-94bf-4543-a2a1-2af304d173aa
25,Bo Li,750,800,775,750,0ce886a8-3727-4380-b569-75a58dc30d60
25,Bo Li,0,0,0,0,27ea8a88-a47b-47b1-9c94-213e9fb6aa82
25,Bo Li,800,800,800,800,283154c2-8709-409e-9f0d-c4ae9760d25a
25,Bo Li,600,700,650,650,30cd21a1-be31-48dc-99f0-23473176da67
25,Bo Li,800,1000,900,1000,43d63c05-2c5f-4c59-8d0e-251b78acb4f7
25,Bo Li,550,600,566.6666666666666,600,5a2cff3d-a371-4584-a8bc-f50bf0283262
25,Bo Li,600,600,600,600,5df4a9f6-8d63-420a-a062-a164c683d1f5
25,Bo Li,800,800,800,800,6be2aae1-b7ca-4a1f-a36a-8520b82aab2a
25,Bo Li,750,800,766.6666666666666,750,76696888-bf22-4b48-86cf-dc239dcf2e77
25,Bo Li,0,0,0,0,78320b4b-3311-44db-a4b2-3a00a0ace8a2
25,Bo Li,750,800,775,750,82bf6c78-ee67-4f8b-8abc-3f39e57d4fa9
25,Bo Li,800,800,800,800,95ebda1b-6128-485a-9e91-9c92a62215c6
25,Bo Li,650,800,690,700,9724d56f-4dbc-4983-b536-a07fee697060
25,Bo Li,450,500,487.5,450,982f0390-28d4-43ae-a8c0-64f4c38fe43e
25,Bo Li,800,900,875,900,986ce628-293a-4cc9-b7f0-de4d896d0ae3
25,Bo Li,600,600,600,600,aea0cbf4-95e3-4b67-a871-4990a8660e03
25,Bo Li,750,800,766.6666666666666,750,be37312b-f861-464b-8983-a7242aab67f7
25,Bo Li,500,600,550,600,d6cedfcf-0cd0-4d3a-94c6-22d72c57772c
25,Bo Li,800,800,800,800,e2421b4f-6041-4ff2-b369-b27b0f5754b2
25,Bo Li,0,0,0,0,eb06a1de-4cb4-4709-9061-22774008c8d1
25,Bo Li,500,500,500,500,f4983fb4-621a-436d-b973-59868c3d17fb
25,Bo Li,650,800,725,650,f4aba008-4350-406a-9be3-fe91195f300b
25,Bo Li,750,800,783.3333333333334,750,f92ff22a-48f5-465a-a11d-c2264645c617
25,Bo Li,500,700,600,600,fccb3df4-3d99-4e70-bc47-c705388425ac
