Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Maria Mamani,100,110,106.66666666666667,110,0558572b-582b-43f9-915e-29210d93bf61
25,Maria Mamani,0,0,0,0,1321d307-e7e3-44fc-97b0-429f098662aa
25,Maria Mamani,600,700,650,600,15f5f5f7-20a1-46e8-934a-74a278496f00
25,Maria Mamani,0,0,0,0,27354f4a-bed6-4a86-a571-3b071ec837fc
25,Maria Mamani,500,600,550,600,28d11179-c962-4acd-976d-43c82de350ba
25,Maria Mamani,550,700,650,650,2c4fbcd6-8a1b-483c-b9b1-6e732c8b2055
25,Maria Mamani,600,800,708.3333333333334,800,31f936ec-5d00-435a-be1e-a525e39769a8
25,Maria Mamani,350,350,350,350,3591504c-2d1a-4817-a678-5d43946b3762
25,Maria Mamani,750,800,775,750,3ef174a8-8240-484a-9676-8746e4beb687
25,Maria Mamani,800,900,850,900,3f771363-f364-4f7f-a8c4-3e4287c5ae9c
25,Maria Mamani,0,0,0,0,400fcc0a-9e7c-431d-9200-70d2e83bf410
25,Maria Mamani,700,800,766.6666666666666,800,43237f89-31ea-4a94-9ac5-037028885afe
25,Maria Mamani,250,300,283.3333333333333,250,4ae599b8-6574-490e-90ab-d74a960a2eb7
25,Maria Mamani,550,1000,680,1000,54428c9d-753f-4762-9503-274206b0f690
25,Maria Mamani,600,900,740,900,65d4dc4b-8d6b-41ea-ac5c-4e4fc467f9e0
25,Maria Mamani,400,400,400,400,6d2785fc-ce5f-4e09-a615-c439af53a860
25,Maria Mamani,0,0,0,0,793af1c7-52af-41ae-b355-2ebc1b9d46d5
25,Maria Mamani,500,550,533.3333333333334,550,8b7ad6f6-9c4d-405a-83f3-5078eef202fb
25,Maria Mamani,600,800,700,600,a8606fc5-f019-458d-8647-a2360b31ae2b
25,Maria Mamani,700,800,760,700,b203a620-c3bd-4705-8153-0205abcc0697
25,Maria Mamani,700,900,775,750,d3b7cf54-4bf6-4dc9-9b26-6a509ecdac6e
25,Maria Mamani,700,750,725,750,e3536761-cf25-4aa7-85f1-41695518c289
25,Maria Mamani,650,700,685.7142857142857,700,e64e291f-b50d-4672-a986-19f07eab4725
25,Maria Mamani,900,900,900,900,feb64b98-b9b6-4075-a05d-c9ae117cd5e6
25,Maria Mamani,800,800,800,800,fed56a38-0407-4cde-ab98-f7c586d27c27
