Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Maria Mamani,600,700,650,600,15f5f5f7-20a1-46e8-934a-74a278496f00
25,Maria Mamani,500,600,550,600,28d11179-c962-4acd-976d-43c82de350ba
25,Maria Mamani,500,900,666.6666666666666,900,30af1535-cfd5-4b9d-9bc2-66320bc74506
25,Maria Mamani,600,800,708.3333333333334,800,31f936ec-5d00-435a-be1e-a525e39769a8
25,Maria Mamani,350,350,350,350,3591504c-2d1a-4817-a678-5d43946b3762
25,Maria Mamani,750,800,775,750,3ef174a8-8240-484a-9676-8746e4beb687
25,Maria Mamani,0,0,0,0,41717c80-5438-4826-88b3-e6153a7993af
25,Maria Mamani,700,800,766.6666666666666,800,43237f89-31ea-4a94-9ac5-037028885afe
25,Maria Mamani,0,0,0,0,4a852683-673f-4c9d-8ad8-4fee185c7166
25,Maria Mamani,400,400,400,400,6d2785fc-ce5f-4e09-a615-c439af53a860
25,Maria Mamani,0,0,0,0,793af1c7-52af-41ae-b355-2ebc1b9d46d5
25,Maria Mamani,500,500,500,500,7ca95a8c-ca08-43b1-89cb-5d0acb45b540
25,Maria Mamani,450,850,700,850,94e33277-4474-4649-b0da-4887be66fbc4
25,Maria Mamani,600,800,700,600,a8606fc5-f019-458d-8647-a2360b31ae2b
25,Maria Mamani,0,0,0,0,aac2144d-ad94-420c-83ab-d0167bf604a7
25,Maria Mamani,700,800,760,700,b203a620-c3bd-4705-8153-0205abcc0697
25,Maria Mamani,700,800,750,800,b4697d32-8ea8-4266-875c-2675562dcf85
25,Maria Mamani,800,800,800,800,bddb1c9e-d6ec-449f-afbf-e218015650af
25,Maria Mamani,500,750,625,750,c820aebd-deb7-4ede-9249-a32dc7af5157
25,Maria Mamani,500,750,658.3333333333334,600,d2452c49-b08a-459a-8a34-7480704e8745
25,Maria Mamani,700,900,775,750,d3b7cf54-4bf6-4dc9-9b26-6a509ecdac6e
25,Maria Mamani,0,0,0,0,edaa17f6-4faa-4d33-9d6a-25ed8267fc2b
25,Maria Mamani,600,800,700,650,ee054880-cf8f-4e86-b4fc-0e8329514531
25,Maria Mamani,0,0,0,0,f886dbd3-73b7-474b-ad63-bfdd66c87339
25,Maria Mamani,900,900,900,900,feb64b98-b9b6-4075-a05d-c9ae117cd5e6
