Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Mary Smith,500,500,500,500,09b94e3d-79f3-4ba7-a23f-6e2e23168afd
25,Mary Smith,0,0,0,0,2dea97f8-e700-4f8b-b114-930c65062c0c
25,Mary Smith,1200,1200,1200,1200,3909bd31-dbf8-44d4-b438-821512e46ee1
25,Mary Smith,550,800,650,550,3caf9019-fe11-458e-8bb9-327a45c1fe52
25,Mary Smith,0,0,0,0,47697de8-b3cf-4063-bb4a-aa43a675d742
25,Mary Smith,300,500,400,500,4dca0432-2d82-44f8-ba41-cc80e12f704d
25,Mary Smith,500,500,500,500,54068bf3-5cb0-43c7-8647-d6b1f46836d1
25,Mary Smith,650,650,650,650,6b2bd539-5652-4a6c-acb7-50c0308d9641
25,Mary Smith,100,800,616.6666666666666,700,7f31d7b9-bc3e-48b5-9f1e-e5a817d4a4e8
25,Mary Smith,800,800,800,800,8a9556a9-fadb-4889-9bc2-c460152b5e03
25,Mary Smith,700,800,750,700,9a308fe6-e261-4276-bf7d-d39b9bc28657
25,Mary Smith,800,800,800,800,9bfb7200-8a67-4c84-8c82-09d8763e5d74
25,Mary Smith,600,600,600,600,9c123e5e-8930-4fea-9980-fb9f6172aa9c
25,Mary Smith,0,0,0,0,a224ffd7-756c-4d2e-abdb-6a093b2dd701
25,Mary Smith,700,750,733.3333333333334,750,adb03f07-57ba-4532-993d-f1c6883a5be7
25,Mary Smith,400,500,450,450,afa76bfb-c4af-45f9-8946-f83a03f372ab
25,Mary Smith,700,700,700,700,ba211fd6-4558-4355-a784-f844d85e6cbd
25,Mary Smith,450,500,487.5,500,c6cbb06d-63af-462b-9f34-2203fce31f3a
25,Mary Smith,500,700,600,700,d52c0041-0e3e-4867-a851-c7a5c64d3262
25,Mary Smith,110,1200,877.5,110,dbf69760-3c1d-46bb-94b4-36146e4da081
25,Mary Smith,800,900,833.3333333333334,900,e1c39fc8-17b6-43e9-ba57-4a7068e9d6f3
25,Mary Smith,700,700,700,700,e68ffa23-a4a2-4148-a634-194446a24245
25,Mary Smith,300,800,466.6666666666667,300,ea7b1f88-28ca-434f-9e59-8de60300e170
25,Mary Smith,500,700,600,700,ea8c7a6d-ed96-4e07-a3d6-72c1d11ac126
25,Mary Smith,450,500,470,500,f12e87ab-2b2d-44cb-94b3-ff32f47def59
