Apartment Size,Renter Name,Min Price,Max Price,Avg Price,Last Price,Folder Name
25,Baihu Li from China,300,300,300,300,007fa667-4a30-4d3f-92d3-052f847eafa9
25,Baihu Li from China,0,0,0,0,058a6086-bb16-4cea-958b-61e4900cbf26
25,Baihu Li from China,0,0,0,0,08ef78e0-de76-495e-96f9-ddb3a7f2c29f
25,Baihu Li from China,550,600,587.5,550,163a5277-0074-4485-b029-9a3d4b739927
25,Baihu Li from China,0,0,0,0,23a98ff5-70c3-4e9b-a174-9a8fe1a5c4ce
25,Baihu Li from China,500,500,500,500,28785830-f0bc-4950-a46d-dab83d2aa3c3
25,Baihu Li from China,600,800,700,800,2e391a88-4000-4c31-a278-a8f19ddaf410
25,Baihu Li from China,750,800,787.5,750,30e7fea3-252c-4fb9-8903-0441e72419c2
25,Baihu Li from China,700,800,716.6666666666666,700,3f03ff74-d7a8-41f9-ab7a-2505107ceb0d
25,Baihu Li from China,700,850,775,850,3f1769e5-17b7-4ffc-82c7-afb8ab8d2bfd
25,Baihu Li from China,700,800,750,800,4829b836-48ad-4d81-a574-287942c99ceb
25,Baihu Li from China,350,500,425,500,57f0cbbd-8e29-45de-a102-6f20fb448ef7
25,Baihu Li from China,250,275,265,275,5ed18944-a1d1-495d-8592-f7b6ab5a3ae0
25,Baihu Li from China,0,0,0,0,5f629e87-dbb1-4fb9-a455-11e3965d00b4
25,Baihu Li from China,250,250,250,250,5fc73683-566a-42d4-a89e-33f5fc41b303
25,Baihu Li from China,1200,1200,1200,1200,61553096-706b-4de5-9311-b9ae3212686e
25,Baihu Li from China,450,550,490,550,621f38a3-9ffa-4d1a-8117-fe9ef0359ee3
25,Baihu Li from China,600,600,600,600,62930f84-fe0d-480c-b9d5-a306ee2e575e
25,Baihu Li from China,100,800,366.6666666666667,100,64973dc0-1532-47d7-9696-ec406c8cef47
25,Baihu Li from China,800,800,800,800,68c2c06d-65cd-4c4a-b1d3-4a623f379245
25,Baihu Li from China,500,600,557.1428571428571,550,6afcdeb6-af91-43b1-94ef-8d7ba4dfef4f
25,Baihu Li from China,0,0,0,0,6c20004b-73d4-4c21-b223-74f008494228
25,Baihu Li from China,100,100,100,100,78018b57-98de-40a8-b34e-dbef43eff299
25,Baihu Li from China,800,800,800,800,78ade432-9ab1-43a2-a48d-1487c2cd4782
25,Baihu Li from China,800,900,833.3333333333334,800,7ee22b1d-3106-4785-b17e-07578184f886
25,Baihu Li from China,500,600,533.3333333333334,600,89d79212-83fc-4a4a-9cf0-db31149137fa
25,Baihu Li from China,700,800,750,700,94cbc39c-9ddf-47ba-b383-bceffca75933
25,Baihu Li from China,800,800,800,800,954ec02e-567b-4aa8-b491-7ac2b479ed02
25,Baihu Li from China,700,900,775,900,9df75dd8-3b21-41ee-ba90-f93993bf0a90
25,Baihu Li from China,0,0,0,0,9f9e6a1e-583e-4be1-9268-9fd2f97a9678
25,Baihu Li from China,0,0,0,0,a58fbce5-6a5d-40be-8b24-b8da13509bb3
25,Baihu Li from China,1200,1200,1200,1200,ae09e23b-77aa-41cd-b087-218d6ad1a114
25,Baihu Li from China,600,800,666.6666666666666,600,ae26cdb1-dffb-4279-bedd-6b3a77a7304a
25,Baihu Li from China,800,900,833.3333333333334,800,aee05048-b208-480b-98b4-6396b23c8a7a
25,Baihu Li from China,0,0,0,0,b299ac28-21c6-43d1-a629-0e2cb05b5e84
25,Baihu Li from China,300,350,337.5,350,b680ea89-83bd-4128-bcbe-dadfb6477d2c
25,Baihu Li from China,500,2000,800,2000,bab22035-d8d8-40ee-a4e8-bdb8664db103
25,Baihu Li from China,300,500,350,500,bf9b9bca-5d05-401f-ada4-15cd6c0b305f
25,Baihu Li from China,800,800,800,800,c03b72a2-0ad2-4068-868a-0ba79652fe9c
25,Baihu Li from China,300,300,300,300,c4e79246-220e-4d92-a83a-cc52abb0a9fd
25,Baihu Li from China,250,300,272.5,270,cf3696d4-57d9-4715-9fd0-8cc4bbf10756
25,Baihu Li from China,700,800,750,800,d08e724a-2f16-4784-8af7-54ba9ab0ec39
25,Baihu Li from China,500,500,500,500,d877ddc4-b0cc-4953-b7cc-62c59bbea49d
25,Baihu Li from China,300,350,308.3333333333333,300,e491acbe-2195-457d-bcd9-b88df74e620c
25,Baihu Li from China,500,500,500,500,e7a02c3b-214c-400a-bc4d-e983655ef646
25,Baihu Li from China,600,700,650,650,f2d814aa-b178-4758-a22b-b7a501c24e9b
25,Baihu Li from China,500,500,500,500,fbf42b34-b70a-4533-a776-869bbdc9fec8
25,Baihu Li from China,500,500,500,500,fca6e868-7c26-4713-8745-2da1e16017dc
25,Baihu Li from China,800,900,866.6666666666666,900,fcde853d-4913-47a7-af7b-23b2d3ca5afd
25,Baihu Li from China,600,800,700,700,ff5b20b0-80d1-486b-9a5a-7a3dbb3d6d3c
